name,team,cmppct,tdpct,intpct,skpct,pacr,adjepacpoe,epaatt,anyatt,passrtg,year,mvp
Gardner Minshew,JAX,66.05504587,4.892966361,1.529051988,7.627118644,0.883111806,0.101637251,0.056786489,6.234463277,95.85244648,2020,0
Drew Lock,DEN,57.33634312,3.611738149,3.386004515,4.112554113,0.751473226,0.023464206,-0.076114841,5.313852814,75.38092551,2020,0
Daniel Jones,NYG,62.5,2.455357143,2.232142857,9.127789047,0.865079365,0.034864218,-0.052412252,4.922920892,80.42224702,2020,0
Tua Tagovailoa,MIA,64.13793103,3.793103448,1.724137931,6.451612903,0.834022989,0.05464429,-0.046586859,5.396774194,87.0545977,2020,0
Jake Luton,JAX,54.54545455,1.818181818,5.454545455,5.982905983,0.721387283,-0.030694197,-0.319828046,2.923076923,54.50757576,2020,0
Justin Herbert,LAC,66.55462185,5.210084034,1.680672269,5.103668262,0.991538989,0.110354133,0.150445777,6.83891547,98.27380952,2020,0
Jalen Hurts,PHI,52.02702703,4.054054054,2.702702703,8.074534161,0.784183296,0.019777786,-0.03122415,5.850931677,77.56193694,2020,0
Joe Burrow,CIN,65.34653465,3.217821782,1.237623762,7.339449541,0.78298864,0.105986485,0.121204765,5.71559633,89.83085809,2020,0
Tom Brady,NE,60.46153846,3.692307692,1.384615385,3.988183161,0.863213274,0.070508322,0.043662552,6.138847858,86.3525641,2019,0
Drew Brees,NO,74.69586375,6.812652068,1.216545012,3.521126761,1.214095238,0.150286692,0.193488648,7.985915493,114.2791971,2019,0
Eli Manning,NYG,61.9047619,4.081632653,3.401360544,3.289473684,0.869057548,0.019811311,-0.047485101,5.875,82.63888889,2019,0
Philip Rivers,LAC,65.98984772,3.891708968,3.384094755,5.44,0.914404597,0.119543652,0.114519623,6.3248,88.48350254,2019,0
Aaron Rodgers,GB,62.99212598,4.724409449,0.94488189,6.065088757,0.821974465,0.112930493,0.128238903,6.773668639,96.3812336,2019,0
Ryan Fitzpatrick,MIA,61.95219124,3.984063745,2.589641434,7.380073801,0.781963217,0.080290297,0.050431382,5.784132841,85.49136786,2019,0
Matt Ryan,ATL,66.23376623,4.220779221,2.272727273,7.228915663,0.88418135,0.090836159,0.033231389,6.084337349,92.08603896,2019,0
Joe Flacco,DEN,65.26717557,2.290076336,1.908396947,9.027777778,1.025323579,0.03685528,-0.08885958,5.288194444,85.13040712,2019,0
Matthew Stafford,DET,64.26116838,6.529209622,1.718213058,5.825242718,0.803795433,0.139715473,0.239204439,8.145631068,106.0209049,2019,0
Andy Dalton,CIN,59.46969697,3.03030303,2.651515152,6.548672566,0.816736793,0.03851029,-0.030319583,5.194690265,78.26704545,2019,0
Case Keenum,WAS,64.77732794,4.453441296,2.024291498,5.72519084,1.004117647,0.05423539,-0.013000931,5.942748092,91.27024291,2019,0
Russell Wilson,SEA,65.85788562,5.719237435,0.866551127,8.557844691,0.851002348,0.157951497,0.197450525,7.621236133,106.444974,2019,0
Nick Foles,JAX,65.81196581,2.564102564,1.709401709,6.4,0.743434343,0.037033813,-0.116078149,5.168,84.56196581,2019,0
Kirk Cousins,MIN,68.84920635,5.555555556,1.388888889,6.666666667,1.049098981,0.134352789,0.167187568,7.407407407,105.3984788,2019,0
Ryan Tannehill,TEN,68.49710983,7.803468208,2.023121387,9.42408377,0.940731781,0.171552671,0.190833864,8.073298429,114.2100193,2019,0
Teddy Bridgewater,NO,67.85714286,4.591836735,1.020408163,5.769230769,1.141914191,0.077993986,0.122223692,6.658653846,99.10714286,2019,0
Derek Carr,LV,70.37037037,4.093567251,1.559454191,5.350553506,1.208345753,0.141922219,0.193222026,7.250922509,100.8000325,2019,0
Jimmy Garoppolo,SF,68.53932584,5.43071161,2.996254682,6.968641115,1.240146396,0.125625496,0.15461237,6.972125436,99.18851436,2019,0
Jameis Winston,TB,60.7028754,5.271565495,4.792332268,6.983655275,0.788304274,0.098381937,0.068509826,6.147102526,84.27848775,2019,0
Marcus Mariota,TEN,59.62732919,4.347826087,1.242236025,13.44086022,1.068141593,0.031661223,-0.04676683,5.887096774,92.32660455,2019,0
Jeff Driskel,DET,59.04761905,3.80952381,3.80952381,9.482758621,0.80493537,0.028188932,-0.081532336,4.646551724,75.29761905,2019,0
Carson Wentz,PHI,63.66612111,4.41898527,1.145662848,5.855161787,0.822715245,0.073889287,0.060825018,6.218798151,92.65889253,2019,0
Dak Prescott,DAL,65.10067114,5.033557047,1.845637584,3.715670436,0.87332977,0.132510272,0.208944697,7.844911147,99.69239374,2019,0
Jared Goff,LA,62.93929712,3.514376997,2.555910543,3.395061728,0.958066515,0.074587636,0.100306311,6.462962963,86.46831736,2019,0
Jacoby Brissett,IND,60.85011186,4.026845638,1.342281879,5.696202532,0.829901269,0.064218719,0.024484785,6.061181435,88.04530201,2019,0
Deshaun Watson,HOU,67.13286713,5.06993007,2.097902098,8.771929825,0.879631445,0.122631552,0.1482498,6.724082935,98.87092075,2019,0
Mitchell Trubisky,CHI,63.17829457,3.294573643,1.937984496,6.859205776,0.763875365,0.025585915,-0.069915126,5.0433213,82.97803618,2019,0
Patrick Mahomes,KC,65.60402685,6.040268456,1.174496644,3.715670436,0.956555469,0.180054189,0.292350442,8.384491115,106.4737136,2019,0
Josh Rosen,MIA,53.21100917,0.917431193,4.587155963,12.8,0.630700779,-0.038763261,-0.45380856,2.152,52.04510703,2019,0
Kyle Allen,CAR,61.96319018,3.476482618,3.27198364,8.598130841,0.830292427,0.037229028,-0.057542745,4.757009346,79.98040218,2019,0
